,date,station_name,count(card_id)
337,2020-09-07,(09117) Calle 45,280
338,2020-09-13,(09119) Calle 57,137
339,2020-01-30,(09122) Calle 72,2167
340,2020-09-29,(09122) Calle 72,535
341,2020-06-14,(09123) Calle 76,126
342,2020-04-25,(10000) Portal 20 de Julio - alimentacion,2592
343,2020-07-23,(10000) Portal 20 de Julio - alimentacion,3419
344,2020-08-19,(10000) Portal 20 de Julio - alimentacion,4254
345,2020-05-07,(10001) Country Sur,807
346,2020-05-26,(10001) Country Sur,1137
347,2020-09-02,(10002) Av. Primero de Mayo,2462
348,2020-03-31,(10002) Av. Primero de Mayo,1246
349,2020-01-25,(10003) Ciudad Jardín,630
350,2020-05-01,(10003) Ciudad Jardín,63
351,2020-08-28,(10004) Policarpa,202
352,2020-06-08,(10005) Bicentenario,50
353,2020-03-01,(10009) Museo Nacional,181
354,2020-02-25,(10010) San Bernardo,1628
355,2020-01-27,(12000) Puente Aranda,141
356,2020-07-18,(12001) Carrera 43,163
357,2020-02-25,(12007) Zona Industrial,326
358,2020-09-15,(40001) Juan Pablo II,621
359,2020-01-06,(40001) Juan Pablo II,369
360,2020-07-10,(40002) Manitas,495
361,2020-09-25,(40002) Manitas,544
362,2020-03-02,(40003) Mirador del Paraiso,4980
363,2020-03-04,(40003) Mirador del Paraiso,5064
364,2020-09-17,(40003) Mirador del Paraiso,1848
365,2020-02-05,(50003) Corral Molinos,4333
366,2020-05-09,(02102) Calle 161,85
367,2020-05-03,(02200) Alcalá,269
368,2020-02-02,(02302) Virrey,198
369,2020-09-18,(02304) Heroes,127
370,2020-07-06,(03006) NIZA - CALLE 127,131
371,2020-05-19,(03009) Av. Suba- Calle 116,120
372,2020-09-03,(03012) SUBA - CALLE 95,92
373,2020-10-11,(04101) Minuto de Dios,105
374,2020-03-19,(04107) Escuela Militar,113
375,2020-09-07,(05005) Transversal 86,475
376,2020-06-06,(05005) Transversal 86,270
377,2020-09-06,(07005) ALQUERIA,174
378,2020-04-12,(07200) Tygua-San José,53
379,2020-05-09,(07201) Guatoque -Veraguas,44
380,2020-04-18,(08002) Biblioteca,115
381,2020-08-18,(09115) Calle 34,230
382,2020-09-03,(09116) Avenida 39,122
383,2020-05-04,(02304) Heroes,113
384,2020-03-12,(06111) Universidades,105
385,2020-08-07,(10003) Ciudad Jardín,97
386,2020-07-05,(10007) Las Nieves,40
387,2020-02-05,(12002) CDS - Carrera 32,198
388,2020-05-03,(02000) Cabecera Autopista Norte - intermunicipal,41
389,2020-05-17,(02105) Calle 142,125
390,2020-05-05,(06109) Centro Memoria,73
391,2020-09-21,(07005) ALQUERIA,453
392,2020-06-18,(09115) Calle 34,257
393,2020-07-29,(09116) Avenida 39,88
394,2020-06-29,(10004) Policarpa,79
395,2020-09-05,(10007) Las Nieves,65
396,2020-02-15,(10008) San Diego,144
397,2020-10-10,(10009) Museo Nacional,88
398,2020-01-03,(14001) La Sabana,53
399,2020-01-16,(03014) SAN MARTIN,149
400,2020-08-07,(06002) Normandía,79
401,2020-07-17,(06103) CAN,94
402,2020-05-16,(06107) Ciudad Universitaria,39
403,2020-05-14,(07105) MOVISTAR ARENA,46
404,2020-10-05,(09114) Calle 26,107
405,2020-03-29,(12007) Zona Industrial,18
406,2020-03-23,(12007) Zona Industrial,19
407,2020-05-16,(03014) SAN MARTIN,18
408,2020-04-30,(04102) Avenida Boyaca,124
409,2020-04-27,(07102) NQS - CALLE 75,54
410,2020-01-29,(50006) Corral Carrera 77,48
411,2020-06-11,(03004) GRATAMIRA,16
412,2020-05-27,(03009) Av. Suba- Calle 116,129
413,2020-09-21,(07105) MOVISTAR ARENA,66
414,2020-03-31,(06102) Salitre El Greco,42
415,2020-04-05,(07506) DESPENSA,79
416,2020-06-29,(08000) Portal Tunal,174
417,2020-03-26,(10005) Bicentenario,39
418,2020-04-22,(12003) Ricaurte,23
419,2020-05-17,(02302) Virrey,97
420,2020-08-15,(07101) CASTELLANA,39
421,2020-06-29,(02103) Mazurén,37
422,2020-04-18,(07201) Guatoque -Veraguas,33
423,2019-12-31,(04103) Las Ferias,11
424,2020-07-30,(06104) Gobernación,55
425,2020-09-06,(14004) Museo del Oro,12
426,2020-08-25,(14004) Museo del Oro,34
427,2020-07-23,(06104) Gobernación,37
428,2020-02-21,(02000) Cabecera Autopista Norte - alimentacion,23070
429,2020-01-01,(02000) Cabecera Autopista Norte - alimentacion,2253
430,2020-08-01,(02000) Cabecera Autopista Norte - intermunicipal,305
431,2020-02-17,(02001) Centro Comercial Santa Fe,5146
432,2020-02-29,(02001) Centro Comercial Santa Fe,2178
433,2020-08-28,(02001) Centro Comercial Santa Fe,465
434,2020-07-22,(02001) Centro Comercial Santa Fe,444
435,2020-08-11,(02102) Calle 161,172
436,2020-03-30,(02102) Calle 161,82
437,2020-05-01,(02102) Calle 161,54
438,2020-05-27,(02104) Calle 146,489
439,2020-07-17,(02104) Calle 146,467
440,2020-07-02,(02105) Calle 142,578
441,2020-01-11,(02200) Alcalá,3180
442,2020-07-18,(02201) Prado,373
443,2020-06-10,(02201) Prado,560
444,2020-01-31,(02202) Calle 127,3390
445,2020-09-10,(02202) Calle 127,293
446,2020-01-20,(02204) Pepe Sierra,2284
447,2020-07-28,(02300) Calle 100,272
448,2020-05-26,(02502) Terminal,337
449,2020-05-21,(02502) Terminal,287
450,2020-01-16,(03002) SUBA - TV- 91,4131
451,2020-03-20,(03002) SUBA - TV- 91,389
452,2020-05-30,(03002) SUBA - TV- 91,497
453,2020-08-30,(03002) SUBA - TV- 91,257
454,2020-02-11,(03003) 21 ANGELES,1885
455,2020-05-03,(03003) 21 ANGELES,60
456,2020-06-28,(03007) HUMEDAL CORDOBA,17
457,2020-06-01,(03009) Av. Suba- Calle 116,115
458,2020-06-18,(03010) PUENTE LARGO,112
459,2020-02-15,(03012) SUBA - CALLE 95,321
460,2020-04-24,(03012) SUBA - CALLE 95,60
461,2020-09-16,(04000) Cabecera Calle 80,1168
462,2020-07-18,(04000) Cabecera Calle 80,595
463,2020-04-02,(04000) Cabecera Calle 80 - alimentacion,1998
464,2020-04-13,(04000) Cabecera Calle 80 - alimentacion,2080
465,2020-04-19,(04000) Cabecera Calle 80 - alimentacion,572
466,2020-06-22,(04000) Cabecera Calle 80 - alimentacion,1300
467,2020-08-12,(04000) Cabecera Calle 80 - intermunicipal,467
468,2020-08-12,(04001) Quirigua,324
469,2020-04-29,(04001) Quirigua,246
470,2020-08-23,(04002) Carrera 90,177
471,2020-07-19,(04003) Avenida Ciudad de Cali,281
472,2020-05-18,(04100) Carrera 77,1113
473,2020-07-18,(04101) Minuto de Dios,170
474,2020-08-09,(04101) Minuto de Dios,49
475,2020-02-19,(04105) Carrera 53,1092
